log_prob,condition,matrix_verb
-98.89431364047898,bridge,"feel
"
-99.28068024706229,bridge,"feel
"
-110.38265591801152,bridge,"feel
"
-110.38265591801152,bridge,"feel
"
-102.97326498187381,bridge,"feel
"
-110.38265591801152,bridge,"feel
"
-83.74114816990357,bridge,"say
"
-87.43732586119049,bridge,"say
"
-95.84246732432683,bridge,"say
"
-83.68670038588118,bridge,"say
"
-95.84246732432683,bridge,"say
"
-85.4405212003503,bridge,"say
"
-98.28133676358823,bridge,"WUG
"
-101.97751445487518,bridge,"WUG
"
-110.38265591801152,bridge,"WUG
"
-98.22688897956586,bridge,"WUG
"
-110.38265591801152,bridge,"WUG
"
-99.98070979403498,bridge,"WUG
"
-98.28133676358823,bridge,"hope
"
-101.97751445487518,bridge,"hope
"
-110.38265591801152,bridge,"hope
"
-98.89431364047898,bridge,"hope
"
-99.28068024706229,bridge,"hope
"
-110.38265591801152,bridge,"hope
"
-86.55810246269485,bridge,"think
"
-90.2542801539818,bridge,"think
"
-98.65942161711813,bridge,"think
"
-86.50365467867248,bridge,"think
"
-98.65942161711813,bridge,"think
"
-88.25747549314158,bridge,"think
"
-98.28133676358823,bridge,"WUG
"
-101.97751445487518,bridge,"WUG
"
-110.38265591801152,bridge,"WUG
"
-98.22688897956586,bridge,"WUG
"
-110.38265591801152,bridge,"WUG
"
-99.98070979403498,bridge,"WUG
"
-98.28133676358823,bridge,"WUG
"
-101.97751445487518,bridge,"WUG
"
-110.38265591801152,bridge,"WUG
"
-98.22688897956586,bridge,"WUG
"
-110.38265591801152,bridge,"WUG
"
-99.98070979403498,bridge,"WUG
"
-98.28133676358823,bridge,"WUG
"
-101.97751445487518,bridge,"WUG
"
-110.38265591801152,bridge,"WUG
"
-98.22688897956586,bridge,"WUG
"
-110.38265591801152,bridge,"WUG
"
-99.98070979403498,bridge,"WUG
"
-88.87832474001324,factive,"know
"
-92.57450243130016,factive,"know
"
-100.9796438944365,factive,"know
"
-88.82387695599085,factive,"know
"
-100.9796438944365,factive,"know
"
-90.57769777045998,factive,"know
"
-90.87194582745053,factive,"remember
"
-94.56812351873747,factive,"remember
"
-102.97326498187381,factive,"remember
"
-90.81749804342816,factive,"remember
"
-102.97326498187381,factive,"remember
"
-92.57131885789727,factive,"remember
"
-98.28133676358823,factive,"WUG
"
-101.97751445487518,factive,"WUG
"
-110.38265591801152,factive,"WUG
"
-98.22688897956586,factive,"WUG
"
-110.38265591801152,factive,"WUG
"
-99.98070979403498,factive,"WUG
"
-90.87194582745053,factive,"notice
"
-94.56812351873747,factive,"notice
"
-102.97326498187381,factive,"notice
"
-90.81749804342816,factive,"notice
"
-102.97326498187381,factive,"notice
"
-92.57131885789727,factive,"notice
"
-98.28133676358823,factive,"WUG
"
-101.97751445487518,factive,"WUG
"
-110.38265591801152,factive,"WUG
"
-98.22688897956586,factive,"WUG
"
-110.38265591801152,factive,"WUG
"
-99.98070979403498,factive,"WUG
"
-87.87939063961169,factive,"forget
"
-91.57556833089862,factive,"forget
"
-99.98070979403498,factive,"forget
"
-87.82494285558931,factive,"forget
"
-99.98070979403498,factive,"forget
"
-89.57876367005844,factive,"forget
"
-88.55682291046828,factive,"learn
"
-92.25300060175522,factive,"learn
"
-100.65814206489156,factive,"learn
"
-88.5023751264459,factive,"learn
"
-100.65814206489156,factive,"learn
"
-90.25619594091502,factive,"learn
"
-98.28133676358823,factive,"WUG
"
-101.97751445487518,factive,"WUG
"
-110.38265591801152,factive,"WUG
"
-98.22688897956586,factive,"WUG
"
-110.38265591801152,factive,"WUG
"
-99.98070979403498,factive,"WUG
"
-98.28133676358823,manner,"whisper
"
-101.97751445487518,manner,"whisper
"
-110.38265591801152,manner,"whisper
"
-98.22688897956586,manner,"whisper
"
-110.38265591801152,manner,"whisper
"
-99.98070979403498,manner,"whisper
"
-98.28133676358823,manner,"WUG
"
-101.97751445487518,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-98.22688897956586,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-99.98070979403498,manner,"WUG
"
-98.28133676358823,manner,"WUG
"
-101.97751445487518,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-98.22688897956586,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-99.98070979403498,manner,"WUG
"
-98.28133676358823,manner,"WUG
"
-101.97751445487518,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-98.22688897956586,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-99.98070979403498,manner,"WUG
"
-98.28133676358823,manner,"whine
"
-101.97751445487518,manner,"whine
"
-110.38265591801152,manner,"whine
"
-98.22688897956586,manner,"whine
"
-110.38265591801152,manner,"whine
"
-99.98070979403498,manner,"whine
"
-98.28133676358823,manner,"WUG
"
-101.97751445487518,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-98.22688897956586,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-99.98070979403498,manner,"WUG
"
-98.28133676358823,manner,"WUG
"
-101.97751445487518,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-98.22688897956586,manner,"WUG
"
-110.38265591801152,manner,"WUG
"
-99.98070979403498,manner,"WUG
"
-98.28133676358823,manner,"scream
"
-101.97751445487518,manner,"scream
"
-110.38265591801152,manner,"scream
"
-98.22688897956586,manner,"scream
"
-110.38265591801152,manner,"scream
"
-99.98070979403498,manner,"scream
"
-87.179361092639,other,"hear
"
-90.87553878392593,other,"hear
"
-99.28068024706229,other,"hear
"
-87.12491330861663,other,"hear
"
-99.28068024706229,other,"hear
"
-88.87873412308574,other,"hear
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-110.38265591801152,other,"WUG
"
-99.98070979403498,other,"WUG
"
-98.89431364047898,other,"WUG
"
-99.28068024706229,other,"WUG
"
-110.38265591801152,other,"WUG
"
-110.38265591801152,other,"WUG
"
-102.97326498187381,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.89431364047898,other,"WUG
"
-99.28068024706229,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-98.89431364047898,other,"WUG
"
-99.28068024706229,other,"WUG
"
-98.28133676358823,other,"WUG
"
-101.97751445487518,other,"WUG
"
-110.38265591801152,other,"WUG
"
-98.22688897956586,other,"WUG
"
-98.89431364047898,other,"WUG
"
-99.28068024706229,other,"WUG
"
-98.28133676358823,other,"complain
"
-101.97751445487518,other,"complain
"
-110.38265591801152,other,"complain
"
-98.22688897956586,other,"complain
"
-110.38265591801152,other,"complain
"
-99.98070979403498,other,"complain
"
